"Variable","PC1","PC2","PC3"
"Z1",0.39418690418128,-0.0381444502299462,-0.109836700856272
"Z2",0.396397327272104,-0.0363970408521044,-0.11012668743716
"Z3",0.0169800056568573,0.0323467212184866,0.0602326213459667
"Z4",0.399592877763136,-0.0395446903914557,-0.115260168982209
"Z5",0.396038406027536,-0.0358228759845565,-0.108969546443758
"Z6",0.285481714594434,0.500165270616222,0.811777691906316
"Z7",0.000197858994535971,-1.51076007056385e-05,-0.00045097029814554
"Z8",0.00019625785066372,-1.31745385828767e-05,-0.00044930151849986
"Z9",-0.00152683918796151,0.0108293461794656,0.00280088883000128
"Z10",-0.00155743840910356,0.0108723326344991,0.002794844446824
"Z11",0.173012711592157,0.752360738050681,-0.525259415543261
"Z12",0.362081086694141,-0.28917592121287,-0.0133801633115864
"Z13",0.357960724527231,-0.305379617395863,0.109294143188608
"Variance Explained",0.770059534484189,0.125942601470535,0.0488862799017235
